name,mood,url,embed_url
Pharrell Williams - Happy (Video),Happy,https://www.youtube.com/watch?v=ZbZSe6N_BXs,https://www.youtube.com/embed/ZbZSe6N_BXs
Justin Timberlake - CAN&#39;T STOP THE FEELING! (from DreamWorks Animation&#39;s &quot;TROLLS&quot;) (Official Video),Happy,https://www.youtube.com/watch?v=ru0K8uYEZWw,https://www.youtube.com/embed/ru0K8uYEZWw
Imagine Dragons - On Top Of The World (Official Music Video),Happy,https://www.youtube.com/watch?v=w5tWYmIOWGk,https://www.youtube.com/embed/w5tWYmIOWGk
Adele - Someone Like You (Official Music Video),Sad,https://www.youtube.com/watch?v=hLQl3WQQoQ0,https://www.youtube.com/embed/hLQl3WQQoQ0
Coldplay - Fix You (Official Video),Sad,https://www.youtube.com/watch?v=k4V3Mo61fJM,https://www.youtube.com/embed/k4V3Mo61fJM
Passenger | Let Her Go (Official Video),Sad,https://www.youtube.com/watch?v=RBumgq5yVrA,https://www.youtube.com/embed/RBumgq5yVrA
"Yiruma, (이루마) - River Flows in You",Calm,https://www.youtube.com/watch?v=7maJOI3QMu0,https://www.youtube.com/embed/7maJOI3QMu0
Let It Be (Remastered 2009),Calm,https://www.youtube.com/watch?v=QDYfEBY9NM4,https://www.youtube.com/embed/QDYfEBY9NM4
Marconi Union - Weightless (Official Video),Calm,https://www.youtube.com/watch?v=UfcAVejslrU,https://www.youtube.com/embed/UfcAVejslrU
Imagine Dragons - Believer (Official Music Video),Energetic,https://www.youtube.com/watch?v=7wtfhZwyrcc,https://www.youtube.com/embed/7wtfhZwyrcc
Mark Ronson - Uptown Funk (Official Video) ft. Bruno Mars,Energetic,https://www.youtube.com/watch?v=OPf0YbXqDm0,https://www.youtube.com/embed/OPf0YbXqDm0
2025 NBA Champions Parade Coverage | OKC Thunder,Energetic,https://www.youtube.com/watch?v=JQJH2GJgqVk,https://www.youtube.com/embed/JQJH2GJgqVk
